survey_year,taxa_code,scientific_name,n,zone
1990,ASTMIN,Asterina miniata,0,Zone I
1990,ASTSER,Astrometis sertulifera,0,Zone I
1990,HALCOR,Haliotis corrugata,1,Zone I
1990,HALCRA,Haliotis cracherodii,0,Zone I
1990,HALFUL,Haliotis fulgens,0,Zone I
1990,PISGIG,Pisaster giganteus,1,Zone I
1990,PISOCH,Pisaster ochraceus,0,Zone I
1991,ASTMIN,Asterina miniata,0,Zone I
1991,ASTSER,Astrometis sertulifera,0,Zone I
1991,HALCOR,Haliotis corrugata,0,Zone I
1991,HALCRA,Haliotis cracherodii,0,Zone I
1991,HALFUL,Haliotis fulgens,0,Zone I
1991,PISGIG,Pisaster giganteus,0,Zone I
1991,PISOCH,Pisaster ochraceus,0,Zone I
1992,ASTMIN,Asterina miniata,0,Zone I
1992,ASTSER,Astrometis sertulifera,0,Zone I
1992,HALCOR,Haliotis corrugata,0,Zone I
1992,HALCRA,Haliotis cracherodii,0,Zone I
1992,HALFUL,Haliotis fulgens,0,Zone I
1992,PISGIG,Pisaster giganteus,0,Zone I
1992,PISOCH,Pisaster ochraceus,0,Zone I
1993,HALCOR,Haliotis corrugata,0,Zone I
1993,HALCRA,Haliotis cracherodii,0,Zone I
1993,HALFUL,Haliotis fulgens,0,Zone I
1993,PISGIG,Pisaster giganteus,0,Zone I
1993,PISOCH,Pisaster ochraceus,0,Zone I
1994,ASTMIN,Asterina miniata,0,Zone I
1994,HALCOR,Haliotis corrugata,0,Zone I
1994,HALCRA,Haliotis cracherodii,0,Zone I
1994,HALFUL,Haliotis fulgens,0,Zone I
1994,PISGIG,Pisaster giganteus,0,Zone I
1994,PISOCH,Pisaster ochraceus,0,Zone I
1995,ASTMIN,Asterina miniata,0,Zone I
1995,HALCOR,Haliotis corrugata,0,Zone I
1995,HALCRA,Haliotis cracherodii,0,Zone I
1995,HALFUL,Haliotis fulgens,0,Zone I
1995,PISGIG,Pisaster giganteus,0,Zone I
1995,PISOCH,Pisaster ochraceus,0,Zone I
1996,ASTMIN,Asterina miniata,0,Zone I
1996,HALCOR,Haliotis corrugata,0,Zone I
1996,HALCRA,Haliotis cracherodii,0,Zone I
1996,HALFUL,Haliotis fulgens,0,Zone I
1996,PISGIG,Pisaster giganteus,0,Zone I
1996,PISOCH,Pisaster ochraceus,0,Zone I
1996,STRFRA,Strongylocentrotus franciscanus,1,Zone I
1996,STRPUR,Strongylocentrotus purpuratus,3,Zone I
1998,ASTMIN,Asterina miniata,0,Zone I
1998,ASTSER,Astrometis sertulifera,0,Zone I
1998,HALCOR,Haliotis corrugata,0,Zone I
1998,HALCRA,Haliotis cracherodii,0,Zone I
1998,HALFUL,Haliotis fulgens,0,Zone I
1998,PISGIG,Pisaster giganteus,0,Zone I
1998,PISOCH,Pisaster ochraceus,0,Zone I
1999,ASTMIN,Asterina miniata,0,Zone I
1999,ASTSER,Astrometis sertulifera,0,Zone I
1999,HALCOR,Haliotis corrugata,0,Zone I
1999,HALCRA,Haliotis cracherodii,0,Zone I
1999,HALFUL,Haliotis fulgens,0,Zone I
1999,PISGIG,Pisaster giganteus,0,Zone I
1999,PISOCH,Pisaster ochraceus,0,Zone I
1999,STRFRA,Strongylocentrotus franciscanus,0,Zone I
1999,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2000,ASTMIN,Asterina miniata,0,Zone I
2000,ASTSER,Astrometis sertulifera,0,Zone I
2000,HALCOR,Haliotis corrugata,0,Zone I
2000,HALCRA,Haliotis cracherodii,0,Zone I
2000,HALFUL,Haliotis fulgens,0,Zone I
2000,PISGIG,Pisaster giganteus,0,Zone I
2000,PISOCH,Pisaster ochraceus,0,Zone I
2000,STRFRA,Strongylocentrotus franciscanus,9,Zone I
2000,STRPUR,Strongylocentrotus purpuratus,4,Zone I
2001,ASTMIN,Asterina miniata,0,Zone I
2001,ASTSER,Astrometis sertulifera,0,Zone I
2001,HALCOR,Haliotis corrugata,0,Zone I
2001,HALCRA,Haliotis cracherodii,0,Zone I
2001,HALFUL,Haliotis fulgens,0,Zone I
2001,PISGIG,Pisaster giganteus,0,Zone I
2001,PISOCH,Pisaster ochraceus,0,Zone I
2001,STRFRA,Strongylocentrotus franciscanus,1,Zone I
2001,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2002,ASTMIN,Asterina miniata,0,Zone I
2002,ASTSER,Astrometis sertulifera,0,Zone I
2002,HALCOR,Haliotis corrugata,0,Zone I
2002,HALCRA,Haliotis cracherodii,0,Zone I
2002,HALFUL,Haliotis fulgens,0,Zone I
2002,PISGIG,Pisaster giganteus,0,Zone I
2002,PISOCH,Pisaster ochraceus,0,Zone I
2002,STRFRA,Strongylocentrotus franciscanus,1,Zone I
2002,STRPUR,Strongylocentrotus purpuratus,17,Zone I
2003,STRFRA,Strongylocentrotus franciscanus,4,Zone I
2003,STRPUR,Strongylocentrotus purpuratus,6,Zone I
2004,ASTMIN,Asterina miniata,0,Zone I
2004,ASTSER,Astrometis sertulifera,0,Zone I
2004,HALCOR,Haliotis corrugata,0,Zone I
2004,HALCRA,Haliotis cracherodii,0,Zone I
2004,HALFUL,Haliotis fulgens,0,Zone I
2004,PISGIG,Pisaster giganteus,0,Zone I
2004,PISOCH,Pisaster ochraceus,0,Zone I
2004,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2004,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2005,ASTMIN,Asterina miniata,0,Zone I
2005,ASTSER,Astrometis sertulifera,0,Zone I
2005,HALCOR,Haliotis corrugata,0,Zone I
2005,HALCRA,Haliotis cracherodii,0,Zone I
2005,HALFUL,Haliotis fulgens,0,Zone I
2005,PISGIG,Pisaster giganteus,0,Zone I
2005,PISOCH,Pisaster ochraceus,0,Zone I
2005,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2005,STRPUR,Strongylocentrotus purpuratus,2,Zone I
2006,ASTMIN,Asterina miniata,0,Zone I
2006,ASTSER,Astrometis sertulifera,0,Zone I
2006,HALCOR,Haliotis corrugata,0,Zone I
2006,HALCRA,Haliotis cracherodii,0,Zone I
2006,HALFUL,Haliotis fulgens,0,Zone I
2006,PISGIG,Pisaster giganteus,0,Zone I
2006,PISOCH,Pisaster ochraceus,0,Zone I
2006,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2006,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2007,ASTMIN,Asterina miniata,0,Zone I
2007,ASTSER,Astrometis sertulifera,0,Zone I
2007,HALCOR,Haliotis corrugata,0,Zone I
2007,HALCRA,Haliotis cracherodii,0,Zone I
2007,HALFUL,Haliotis fulgens,2,Zone I
2007,PISGIG,Pisaster giganteus,3,Zone I
2007,PISOCH,Pisaster ochraceus,0,Zone I
2007,STRFRA,Strongylocentrotus franciscanus,1,Zone I
2007,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2008,ASTMIN,Asterina miniata,0,Zone I
2008,ASTSER,Astrometis sertulifera,0,Zone I
2008,HALCOR,Haliotis corrugata,0,Zone I
2008,HALCRA,Haliotis cracherodii,0,Zone I
2008,HALFUL,Haliotis fulgens,0,Zone I
2008,PISGIG,Pisaster giganteus,1,Zone I
2008,PISOCH,Pisaster ochraceus,0,Zone I
2008,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2008,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2009,ASTMIN,Asterina miniata,0,Zone I
2009,ASTSER,Astrometis sertulifera,0,Zone I
2009,HALCOR,Haliotis corrugata,0,Zone I
2009,HALCRA,Haliotis cracherodii,0,Zone I
2009,HALFUL,Haliotis fulgens,0,Zone I
2009,PISGIG,Pisaster giganteus,0,Zone I
2009,PISOCH,Pisaster ochraceus,0,Zone I
2009,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2009,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2010,ASTMIN,Asterina miniata,0,Zone I
2010,ASTSER,Astrometis sertulifera,0,Zone I
2010,HALCOR,Haliotis corrugata,0,Zone I
2010,HALCRA,Haliotis cracherodii,0,Zone I
2010,HALFUL,Haliotis fulgens,0,Zone I
2010,PISGIG,Pisaster giganteus,0,Zone I
2010,PISOCH,Pisaster ochraceus,0,Zone I
2010,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2010,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2011,ASTMIN,Asterina miniata,0,Zone I
2011,ASTSER,Astrometis sertulifera,0,Zone I
2011,HALCOR,Haliotis corrugata,0,Zone I
2011,HALCRA,Haliotis cracherodii,0,Zone I
2011,HALFUL,Haliotis fulgens,0,Zone I
2011,PISGIG,Pisaster giganteus,0,Zone I
2011,PISOCH,Pisaster ochraceus,0,Zone I
2011,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2011,STRPUR,Strongylocentrotus purpuratus,1,Zone I
2012,ASTMIN,Asterina miniata,0,Zone I
2012,ASTSER,Astrometis sertulifera,0,Zone I
2012,HALCOR,Haliotis corrugata,0,Zone I
2012,HALCRA,Haliotis cracherodii,0,Zone I
2012,HALFUL,Haliotis fulgens,0,Zone I
2012,PISGIG,Pisaster giganteus,0,Zone I
2012,PISOCH,Pisaster ochraceus,0,Zone I
2012,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2012,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2013,ASTMIN,Asterina miniata,0,Zone I
2013,ASTSER,Astrometis sertulifera,0,Zone I
2013,HALCOR,Haliotis corrugata,0,Zone I
2013,HALCRA,Haliotis cracherodii,0,Zone I
2013,HALFUL,Haliotis fulgens,0,Zone I
2013,PISGIG,Pisaster giganteus,2,Zone I
2013,PISOCH,Pisaster ochraceus,0,Zone I
2013,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2013,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2014,ASTMIN,Asterina miniata,0,Zone I
2014,ASTSER,Astrometis sertulifera,0,Zone I
2014,HALCOR,Haliotis corrugata,0,Zone I
2014,HALCRA,Haliotis cracherodii,0,Zone I
2014,HALFUL,Haliotis fulgens,0,Zone I
2014,PISGIG,Pisaster giganteus,0,Zone I
2014,PISOCH,Pisaster ochraceus,0,Zone I
2014,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2015,ASTMIN,Asterina miniata,0,Zone I
2015,ASTSER,Astrometis sertulifera,0,Zone I
2015,HALCOR,Haliotis corrugata,0,Zone I
2015,HALCRA,Haliotis cracherodii,0,Zone I
2015,HALFUL,Haliotis fulgens,0,Zone I
2015,PISGIG,Pisaster giganteus,0,Zone I
2015,PISOCH,Pisaster ochraceus,0,Zone I
2015,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2015,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2016,ASTMIN,Asterina miniata,1,Zone I
2016,ASTSER,Astrometis sertulifera,0,Zone I
2016,HALCOR,Haliotis corrugata,0,Zone I
2016,HALCRA,Haliotis cracherodii,0,Zone I
2016,HALFUL,Haliotis fulgens,0,Zone I
2016,PISGIG,Pisaster giganteus,0,Zone I
2016,PISOCH,Pisaster ochraceus,0,Zone I
2016,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2016,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2017,ASTMIN,Asterina miniata,0,Zone I
2017,ASTSER,Astrometis sertulifera,0,Zone I
2017,HALCOR,Haliotis corrugata,0,Zone I
2017,HALCRA,Haliotis cracherodii,0,Zone I
2017,HALFUL,Haliotis fulgens,0,Zone I
2017,PISGIG,Pisaster giganteus,0,Zone I
2017,PISOCH,Pisaster ochraceus,0,Zone I
2017,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2017,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2019,ASTMIN,Asterina miniata,0,Zone I
2019,ASTSER,Astrometis sertulifera,0,Zone I
2019,HALCOR,Haliotis corrugata,0,Zone I
2019,HALCRA,Haliotis cracherodii,0,Zone I
2019,HALFUL,Haliotis fulgens,1,Zone I
2019,PISGIG,Pisaster giganteus,0,Zone I
2019,PISOCH,Pisaster ochraceus,0,Zone I
2019,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2019,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2020,ASTMIN,Asterina miniata,0,Zone I
2020,ASTSER,Astrometis sertulifera,0,Zone I
2020,HALCOR,Haliotis corrugata,0,Zone I
2020,HALCRA,Haliotis cracherodii,0,Zone I
2020,HALFUL,Haliotis fulgens,0,Zone I
2020,PISGIG,Pisaster giganteus,0,Zone I
2020,PISOCH,Pisaster ochraceus,0,Zone I
2020,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2020,STRPUR,Strongylocentrotus purpuratus,0,Zone I
2021,ASTMIN,Asterina miniata,0,Zone I
2021,ASTSER,Astrometis sertulifera,0,Zone I
2021,HALCOR,Haliotis corrugata,0,Zone I
2021,HALCRA,Haliotis cracherodii,0,Zone I
2021,HALFUL,Haliotis fulgens,0,Zone I
2021,PISGIG,Pisaster giganteus,0,Zone I
2021,PISOCH,Pisaster ochraceus,0,Zone I
2021,STRFRA,Strongylocentrotus franciscanus,0,Zone I
2021,STRPUR,Strongylocentrotus purpuratus,0,Zone I
1990,ASTMIN,Asterina miniata,6,Zone II
1990,ASTSER,Astrometis sertulifera,0,Zone II
1990,HALCOR,Haliotis corrugata,0,Zone II
1990,HALCRA,Haliotis cracherodii,0,Zone II
1990,HALFUL,Haliotis fulgens,0,Zone II
1990,PISGIG,Pisaster giganteus,0,Zone II
1990,PISOCH,Pisaster ochraceus,0,Zone II
1991,ASTMIN,Asterina miniata,5,Zone II
1991,ASTSER,Astrometis sertulifera,0,Zone II
1991,HALCOR,Haliotis corrugata,0,Zone II
1991,HALCRA,Haliotis cracherodii,0,Zone II
1991,HALFUL,Haliotis fulgens,0,Zone II
1991,PISGIG,Pisaster giganteus,0,Zone II
1991,PISOCH,Pisaster ochraceus,0,Zone II
1992,ASTMIN,Asterina miniata,1,Zone II
1992,ASTSER,Astrometis sertulifera,0,Zone II
1992,HALCOR,Haliotis corrugata,0,Zone II
1992,HALCRA,Haliotis cracherodii,0,Zone II
1992,HALFUL,Haliotis fulgens,0,Zone II
1992,PISGIG,Pisaster giganteus,0,Zone II
1992,PISOCH,Pisaster ochraceus,0,Zone II
1993,HALCOR,Haliotis corrugata,0,Zone II
1993,HALCRA,Haliotis cracherodii,0,Zone II
1993,HALFUL,Haliotis fulgens,0,Zone II
1993,PISGIG,Pisaster giganteus,1,Zone II
1993,PISOCH,Pisaster ochraceus,0,Zone II
1994,ASTMIN,Asterina miniata,3,Zone II
1994,HALCOR,Haliotis corrugata,0,Zone II
1994,HALCRA,Haliotis cracherodii,0,Zone II
1994,HALFUL,Haliotis fulgens,0,Zone II
1994,PISGIG,Pisaster giganteus,0,Zone II
1994,PISOCH,Pisaster ochraceus,0,Zone II
1995,ASTMIN,Asterina miniata,1,Zone II
1995,HALCOR,Haliotis corrugata,0,Zone II
1995,HALCRA,Haliotis cracherodii,0,Zone II
1995,HALFUL,Haliotis fulgens,0,Zone II
1995,PISGIG,Pisaster giganteus,0,Zone II
1995,PISOCH,Pisaster ochraceus,0,Zone II
1996,ASTMIN,Asterina miniata,2,Zone II
1996,HALCOR,Haliotis corrugata,0,Zone II
1996,HALCRA,Haliotis cracherodii,0,Zone II
1996,HALFUL,Haliotis fulgens,0,Zone II
1996,PISGIG,Pisaster giganteus,0,Zone II
1996,PISOCH,Pisaster ochraceus,0,Zone II
1996,STRFRA,Strongylocentrotus franciscanus,0,Zone II
1996,STRPUR,Strongylocentrotus purpuratus,0,Zone II
1998,ASTMIN,Asterina miniata,0,Zone II
1998,ASTSER,Astrometis sertulifera,0,Zone II
1998,HALCOR,Haliotis corrugata,0,Zone II
1998,HALCRA,Haliotis cracherodii,0,Zone II
1998,HALFUL,Haliotis fulgens,0,Zone II
1998,PISGIG,Pisaster giganteus,0,Zone II
1998,PISOCH,Pisaster ochraceus,0,Zone II
1999,ASTMIN,Asterina miniata,0,Zone II
1999,ASTSER,Astrometis sertulifera,0,Zone II
1999,HALCOR,Haliotis corrugata,0,Zone II
1999,HALCRA,Haliotis cracherodii,0,Zone II
1999,HALFUL,Haliotis fulgens,0,Zone II
1999,PISGIG,Pisaster giganteus,1,Zone II
1999,PISOCH,Pisaster ochraceus,0,Zone II
1999,STRFRA,Strongylocentrotus franciscanus,0,Zone II
1999,STRPUR,Strongylocentrotus purpuratus,8,Zone II
2000,ASTMIN,Asterina miniata,2,Zone II
2000,ASTSER,Astrometis sertulifera,0,Zone II
2000,HALCOR,Haliotis corrugata,0,Zone II
2000,HALCRA,Haliotis cracherodii,0,Zone II
2000,HALFUL,Haliotis fulgens,0,Zone II
2000,PISGIG,Pisaster giganteus,0,Zone II
2000,PISOCH,Pisaster ochraceus,0,Zone II
2000,STRFRA,Strongylocentrotus franciscanus,0,Zone II
2000,STRPUR,Strongylocentrotus purpuratus,0,Zone II
2001,ASTMIN,Asterina miniata,0,Zone II
2001,ASTSER,Astrometis sertulifera,0,Zone II
2001,HALCOR,Haliotis corrugata,0,Zone II
2001,HALCRA,Haliotis cracherodii,0,Zone II
2001,HALFUL,Haliotis fulgens,0,Zone II
2001,PISGIG,Pisaster giganteus,0,Zone II
2001,PISOCH,Pisaster ochraceus,0,Zone II
2001,STRFRA,Strongylocentrotus franciscanus,0,Zone II
2001,STRPUR,Strongylocentrotus purpuratus,6,Zone II
2002,ASTMIN,Asterina miniata,0,Zone II
2002,ASTSER,Astrometis sertulifera,0,Zone II
2002,HALCOR,Haliotis corrugata,0,Zone II
2002,HALCRA,Haliotis cracherodii,0,Zone II
2002,HALFUL,Haliotis fulgens,0,Zone II
2002,PISGIG,Pisaster giganteus,0,Zone II
2002,PISOCH,Pisaster ochraceus,0,Zone II
2002,STRFRA,Strongylocentrotus franciscanus,1,Zone II
2002,STRPUR,Strongylocentrotus purpuratus,15,Zone II
2003,ASTMIN,Asterina miniata,1,Zone II
2003,STRFRA,Strongylocentrotus franciscanus,1,Zone II
2003,STRPUR,Strongylocentrotus purpuratus,5,Zone II
2004,ASTMIN,Asterina miniata,0,Zone II
2004,ASTSER,Astrometis sertulifera,0,Zone II
2004,HALCOR,Haliotis corrugata,0,Zone II
2004,HALCRA,Haliotis cracherodii,0,Zone II
2004,HALFUL,Haliotis fulgens,0,Zone II
2004,PISGIG,Pisaster giganteus,0,Zone II
2004,PISOCH,Pisaster ochraceus,0,Zone II
2004,STRFRA,Strongylocentrotus franciscanus,0,Zone II
2004,STRPUR,Strongylocentrotus purpuratus,1,Zone II
2005,ASTMIN,Asterina miniata,0,Zone II
2005,ASTSER,Astrometis sertulifera,0,Zone II
2005,HALCOR,Haliotis corrugata,0,Zone II
2005,HALCRA,Haliotis cracherodii,0,Zone II
2005,HALFUL,Haliotis fulgens,0,Zone II
2005,PISGIG,Pisaster giganteus,1,Zone II
2005,PISOCH,Pisaster ochraceus,0,Zone II
2005,STRFRA,Strongylocentrotus franciscanus,0,Zone II
2005,STRPUR,Strongylocentrotus purpuratus,6,Zone II
2006,ASTMIN,Asterina miniata,0,Zone II
2006,ASTSER,Astrometis sertulifera,0,Zone II
2006,HALCOR,Haliotis corrugata,0,Zone II
2006,HALCRA,Haliotis cracherodii,0,Zone II
2006,HALFUL,Haliotis fulgens,0,Zone II
2006,PISGIG,Pisaster giganteus,0,Zone II
2006,PISOCH,Pisaster ochraceus,0,Zone II
2006,STRFRA,Strongylocentrotus franciscanus,0,Zone II
2006,STRPUR,Strongylocentrotus purpuratus,9,Zone II
2007,ASTMIN,Asterina miniata,0,Zone II
2007,ASTSER,Astrometis sertulifera,0,Zone II
2007,HALCOR,Haliotis corrugata,0,Zone II
2007,HALCRA,Haliotis cracherodii,0,Zone II
2007,HALFUL,Haliotis fulgens,0,Zone II
2007,PISGIG,Pisaster giganteus,4,Zone II
2007,PISOCH,Pisaster ochraceus,0,Zone II
2007,STRFRA,Strongylocentrotus franciscanus,1,Zone II
